       l       b       nec     Fc     dc     rc   edge type name
0    22.260  -1.420   2.660   0.00  2.000  0.010    0    P 1836-1008       
0    23.390   0.063   8.000   0.00  4.400  0.010    0    P 1830-08         
0    25.090   0.550   2.060 100.00  2.060  0.010    0    P 1832-06         
0    25.460   4.733   0.500   2.00  1.500  0.020    0    P 1818-04         
0    28.050   5.310   0.090 100.00  2.170  0.010    0    P 1823-0154       
0    28.350   0.170   0.890 100.00  2.230  0.010    0    P 1839-04         
0    28.490  -5.680   0.110 100.00  2.250  0.010    0    P 1903-0632       
0    30.510 -33.080   0.120   0.00  0.320  0.010    0    P 2045-16         
0    31.310  -7.120   0.050 100.00  1.780  0.010    0    P 1911-04         
0    31.340   0.039   0.120 200.00  2.400  0.020    0    P 1845-01         
0    33.300   0.100  10.000 200.00  7.400  0.020    0    P 1849+00         
0    33.690  -3.550   0.060 100.00  2.620  0.010    0    P 1905-0056       
0    34.100 -20.300   0.390   0.00  0.460  0.010    0    P 2003-08         
0    34.990   8.860   1.270   0.00  0.440  0.010    0    P 1821+05         
0    35.200  -1.730   2.000  10.00  2.800  0.010    0    G OH35.2-1.7      
0    35.727  -1.955   2.000   0.40  2.800  0.040    0    P 1900+01         
0    37.080  21.680   1.090   0.00  0.490  0.010    0    P 1737+13         
0    40.080   6.280   0.490   0.00  0.510  0.010    0    P 1839+09         
0    40.620  -0.140  10.000 12500.0 2.200  0.003    1    G OH40.6-0.2      
0    41.910   0.087   6.000  20.00  8.000  0.010    0    X 1905+079        
0    42.290   3.060   0.010  25.00  0.550  0.010    0    P 1855+09         
0    43.160   0.010   3.500  20.00  8.500  0.020    0    G W49N            
0    43.480  54.490   0.380   0.00  0.340  0.010    0    P 1530+27         
0    43.780  -0.135   6.000  20.00  2.600  0.020    0    G OH43.80-0.13    
0    44.830   0.990   4.720   0.00  0.600  0.010    1   MP 1907+10         
0    47.580   0.450   5.010   0.00  4.000  0.010    0    P 1914+13         
0    49.400 -70.190   0.010  35.00  0.200  0.010    0    P 2330-2005       
0    51.880  -2.460   0.110 100.00  3.770  0.010    0    P 1933+15         
0    53.720  -1.310   0.160 100.00  4.430  0.010    0    P 1933+17         
